Date,Time,Artist,Title
2025-05-23,03:51,Chrizz Morisson/Timi Kullai,Bailando 2k19 (Dolls Euro Mix)
2025-05-23,03:56,"Tinie, DVBBS & Borgeous",Tsunami (Jump) Feat. Tinie Tempah
2025-05-23,03:59,Major Lazer X DJ Snake,Lean On Feat. Mø
2025-05-23,04:01,We The Kings,Friday Is Forever
2025-05-23,04:05,Scooter,How Much Is The Fish
2025-05-23,04:09,Groove Coverage,On The Radio (Danceboy Bootleg Mix)
2025-05-23,04:09,United Dj,Pussy
2025-05-23,04:12,Shaun Baker Vs. Seaside Clubbers,DUP DUP (Danceboy English )
2025-05-23,04:12,Retinue,Tell Me Feat. Linnea Sars
2025-05-23,04:15,DJ Tapestop,Downtown (Extended Mix)
2025-05-23,04:17,Kaaze,Drop The Power
2025-05-23,04:17,"Luvstruck, Carlprit",The Summer Is Magic
2025-05-23,04:21,Bingo Players Vs. Zak Noel Vs. White Stripes,Seven Loca Rattle (Djs From Mars Triplemash Club Mix)
2025-05-23,04:25,Gobs,Tro På Kærlighed
2025-05-23,04:31,"Borgeous, Rvssian & M.R.I.",Ride It feat. Sean Paul (7 Skies & Sissa Remix)
2025-05-23,04:33,Tobias Rahim,Stimulanser Feat. Ida Laurberg
2025-05-23,04:34,Pattesutter,Dance With The Pattesutter (D-Devils vs. Pattesutter)
2025-05-23,04:39,Nana,Life
2025-05-23,04:45,SEREBRO,Mi Mi Mi (Forever Lost Bootleg)
2025-05-23,04:47,Mightyfools & Cumfiesta,MEGA Super Lækker (Volde Bootleg
2025-05-23,04:50,EDX,Goombah
2025-05-23,04:54,Kato & Electric Lady Lab,Alive
2025-05-23,04:54,Dj Gollum Vs. Basslovers United,Narcotic (Dj Tht Remix)
2025-05-23,04:54,Dj Aligator,Protect Your Ears (Pulsedriver Remix)
2025-05-23,04:57,Armin Van Buuren vs. Vini Vici,Great Spirit Feat Hilight Tribe
2025-05-23,05:00,Kolding,Gar ISeng Med Laereren (Freestylerz Remix)
2025-05-23,05:03,Brooklyn Bounce & Steve Modana,Bounce Attack (Back to the 90s) (Raindropz! Edit)
2025-05-23,05:07,Daft Punk,"Harder, Better, Faster, Stronger (Raindropz! 2008 Bootleg Mix)"
2025-05-23,05:10,Nirvana,Smells Like Teen Spirit (Eric Mullder Vocal Bootleg Edit)
2025-05-23,05:10,Mahkenna,Sing It Out
2025-05-23,05:13,Jyden,Sommer
2025-05-23,05:16,"Luvstruck, Carlprit",The Summer Is Magic
2025-05-23,05:21,Klinqe,Da Glass (Taz Dk Remix)
2025-05-23,05:25,Jaybee,Please Don't Go Feat. Sandman (Dj Klubbingman Meets Raindropz Remix)
2025-05-23,05:28,Eminem,Sing For The Moment
2025-05-23,05:28,Bille & Buss,Den Lille Gumbas Feat. Botoft (Kontaktflade Mix)
2025-05-23,05:33,Birdy,Keeping Your Head Up (Topic Remix)
2025-05-23,05:33,Killah Swagger,Turn up the music (DRM vs DAYZ remix edit)
2025-05-23,05:37,Sns United Project,I Want to Be Free (Carmi Rosa Remix)
2025-05-23,05:40,R3hab & Zroq,Feed The Skydrop Feat. Dada Life (Redline Bootleg)
2025-05-23,05:40,Dr. Alban,It's My Life
2025-05-23,05:44,Lautsprecher,Omni-Bus
2025-05-23,05:47,Alex Newell,Keep It Moving (Qulinez Remix)
2025-05-23,05:50,Timmy Trumpet,Dumb Feat. Charlott Boss
2025-05-23,05:53,Marc Van Linden,There's Nothing I Won't Do (CJ Stone Remix)
2025-05-23,05:53,C-BooL,House Baby (Verano Remix Edit)
2025-05-23,05:58,Space Frog & The Grim Reaper,(X-Ray) Follow Me
2025-05-23,06:01,Jerome & Imallryt,Still Need You
2025-05-23,06:03,Back 2 Base,Scared To Be Lonely (MaLu Project Remix)
2025-05-23,06:06,Raindropz! Vs. Le Click,Tonight Is The Night (Extended Mix)
2025-05-23,06:08,Dua Lipa,Scared to Be Lonely
2025-05-23,06:08,"Luvstruck, Carlprit",The Summer Is Magic
2025-05-23,06:09,Lasgo,Something (Faustix Extended Remix)
2025-05-23,06:11,Masked Wolf,Butterflies & Bandaids (Tazi Remix)
2025-05-23,06:14,Timbaland,SexyBack (feat. Timbaland)
2025-05-23,06:16,Movimento Latino,Hands Up (Movimento Latino Remix)
2025-05-23,06:20,2 Unlimited,Tribal Dance
2025-05-23,06:26,Danny Klark,Pjanoo (Bass Power Remix)
2025-05-23,06:26,Red Hot Chilli Peppers,Dani California (Teddy Cream Bootleg)
2025-05-23,06:29,Jeff Retro,Isle Of Man
2025-05-23,06:32,Basshunter & Alien Cut,End The Lies
2025-05-23,06:38,Pump Sisters,Daddy Cool (Remix 2000)
2025-05-23,06:42,Durs,Walking on Clouds
2025-05-23,06:45,Tommy Trash,Fuckwind
2025-05-23,06:46,Eminem,The Real Slim Shady (Claes' Nik & Jay Bootleg)
2025-05-23,06:49,Basslovers United,Drunken
2025-05-23,06:49,Nazar Drago,My Own
2025-05-23,06:53,Robbie Rivera,Come on Home
2025-05-23,06:56,Henry Fong & Scndl,Ass Up
2025-05-23,06:56,"Luvstruck, Carlprit",The Summer Is Magic
2025-05-23,07:02,DIRTY Sound System,Waiting for Love (Technoposse Remix Edit)
2025-05-23,07:06,Steve Aoki & Darren Criss,Crash Into Me
2025-05-23,07:10,SPECKTORS,Gutterne Feat. Nonsens
2025-05-23,07:12,Bruno Mars,Treasure
2025-05-23,07:12,DJ Lenno,Shake Dat Ass Feat. Kadbury (Nick Skitz & Technoposse Remix Edit)
2025-05-23,07:16,Sean Finn & L.A. H3RO,We Believe
2025-05-23,07:20,Junior Caldera,What You Get
2025-05-23,07:23,Tegan & Sara,Feel It In My Bones Feat. Tiësto
2025-05-23,07:26,ATB,Don't Stop
2025-05-23,07:29,Timmy Trumpet & Dr Phunk & STVW,The Money
2025-05-23,07:29,East & Young,With You (Extended Mix)
2025-05-23,07:29,Mokaby,Lonely With U
2025-05-23,07:31,Vild $mith,Klogere Nu
2025-05-23,07:37,Neelix,You
2025-05-23,07:39,Zsá Zsá x VIZE x ALOTT,Imposter
2025-05-23,07:42,Timmy Trumpet,The King Feat. Vitas
2025-05-23,07:45,Faustix & Rave Republic,Do You Think About Me
2025-05-23,07:45,Ste Ingham,Can You Feel It
2025-05-23,07:48,"Luvstruck, Carlprit",The Summer Is Magic
2025-05-23,07:51,Jetfire & Qulinez,I Feel Feat. Karmatek
2025-05-23,07:56,Ringnes-Ronny,Polisen
2025-05-23,08:01,Cartoons,Little Red Ridinghood
2025-05-23,08:04,PornoPer,Ammenam
2025-05-23,08:04,Jodie Connor,Now Or Never Feat. Wiley (Ruff Loaderz Club Mix)
2025-05-23,08:08,Jokeren,Kvinde din
2025-05-23,08:08,Fly Project,Mandala
2025-05-23,08:12,Tom & Jame,What Goes Around
2025-05-23,08:14,Arina Mai,Troubled Mind
2025-05-23,08:15,Will Sparks,Ah Yeah So What Feat. Wiley & Elen Levon (SCNDL Remix)
2025-05-23,08:18,Kongsted,What I Want Feat. FVN
2025-05-23,08:21,Twoloud,Traffic (Tiesto Edit)
2025-05-23,08:25,Eric Prydz,Breathe Feat. Rob Swire
2025-05-23,08:28,Rednex,Riding Alone
2025-05-23,08:28,Faustix & Litening,Genie In A Bottle
2025-05-23,08:32,David Guetta & Alesso,Every Chance We Get We Run Feat. Tegan Quin & Sara
2025-05-23,08:35,Special D,Home Alone
2025-05-23,08:38,Alfons,Let Me Go
2025-05-23,08:40,"Luvstruck, Carlprit",The Summer Is Magic
2025-05-23,08:43,Dino & Rocker,Breakfast At Tiffanys (Justin Corza Meets Greg Blast Remix)
2025-05-23,08:44,FSDW,Wknd (Pajane Remix)
2025-05-23,08:44,Tessa,Set Mer Feat. Jesper Livid
2025-05-23,08:46,Audiosonik,Rich Girl (Miss California) Feat. David Celine
2025-05-23,08:49,Nicki Minaj,Pound The Alarm
2025-05-23,08:53,The Magician,Together (Lucas & Steve Remix)
2025-05-23,08:57,666,Paradoxx
2025-05-23,09:02,DubVision & Pontifexx,Stand By You
2025-05-23,09:02,Funnel Vision,Psycho Pig (feat. Fgteev)
2025-05-23,09:04,Rihanna,Bitch Better Have My Money (R3hab Remix)
2025-05-23,09:09,SEREBRO,Mi Mi Mi (Forever Lost Bootleg)
2025-05-23,09:13,The Mysterious Girl,Like a Prayer
2025-05-23,09:16,Jay Frog & KLC,Da Beat (Club Mix)
2025-05-23,09:18,Charli XCX,Guess featuring Billie Eilish
2025-05-23,09:19,OneRepublic,I Don't Wanna Wait
2025-05-23,09:21,"Luvstruck, Carlprit",The Summer Is Magic
2025-05-23,09:21,Boogie Bros,Fight for Your Right (RainDropz! Bootleg Remix Edit)
2025-05-23,09:26,Djämes Braun,Kvinder Og Kanoner (feat. Barbara Moleko)
2025-05-23,09:31,Maroon 5,Misery
2025-05-23,09:31,E-Rotic,Sex on the Phone
2025-05-23,09:34,Jyderne,Æ Hjem og Sove
2025-05-23,09:37,Sawtone & Craftwerk,Jump
2025-05-23,09:41,P!nk,So What
2025-05-23,09:44,Anne-Marie,Ciao Adios (Burak Yeter Remix)
2025-05-23,09:45,Faustix & Rave Republic,Do You Think About Me
2025-05-23,09:48,Dan Winter,Party Jump (Dj Tht Ced Tecknoboy Bootleg)
2025-05-23,09:52,Marco Laschi & Giona Guidi & Ron Carroll,The Light (Extended Mix)
2025-05-23,09:55,Nicki Feldt,Pind-is
2025-05-23,09:59,Lund.D,LTDD
2025-05-23,10:01,Gathania,Blame It On You (De-Grees Mix)
2025-05-23,10:02,Swedish House Mafia,Save The World Tonight
2025-05-23,10:02,Ummet Ozcan,Eins Zwei Feat. Mo-Do
2025-05-23,10:04,Cargo Vs. Ottomix & Phobia,Deep Raggasex (Aba & Simonsen Pornstar Booty Tool)
2025-05-23,10:08,Clemens,Ubetinget
2025-05-23,10:11,Marshmello,Here With Me Feat CHVRCHES
2025-05-23,10:16,"Luvstruck, Carlprit",The Summer Is Magic
2025-05-23,10:18,Minus Plus,Love Song (Smithee's Banger Remix)
2025-05-23,10:19,Decoy! & The Royalties STHLM,You Are Not Alone
2025-05-23,10:22,Sandro Silva & Quintino,Epic (Just Fine & Atik Bootleg)
2025-05-23,10:25,Mimi Webb,Ghost of You
2025-05-23,10:28,Italobrothers,Hasselhoff
2025-05-23,10:34,Verde,Forever Feat. Siobhan (De-Grees mix)
2025-05-23,10:36,Magic,Rude (Zedd-Remix)
2025-05-23,10:37,Basada,Turn Up the Love Feat Shana Pearson
2025-05-23,10:42,Patric Mcfly,Teenage Dirthouse (Topmodelz Remix)
2025-05-23,10:42,Mashd 'n Kutcher,Ode To Rock
